2017-09-27 11:23:25,529 | cRED_experiment:75 | INFO | Data collection spot size: 1
2017-09-27 11:31:08,499 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:31:08,532 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:31:08,546 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:31:08,546 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:31:08,546 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:31:08,546 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:31:08,546 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:31:08,585 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:31:10,286 | edfimage:87 | DEBUG | No support for float128 in your code
2017-09-27 11:31:10,345 | openimage:151 | DEBUG | Attempting to open C:\Users\bwang\workspace\cRED_Collection_Structured\flatfield_tpx_2017-06-21.tiff
2017-09-27 11:31:10,346 | openimage:153 | DEBUG | Attempting to read frame None from C:\Users\bwang\workspace\cRED_Collection_Structured\flatfield_tpx_2017-06-21.tiff with reader TifImage
2017-09-27 11:31:10,349 | cRED_experiment:71 | INFO | Data recording started at: 2017-09-27 11:31:10
2017-09-27 11:31:10,349 | cRED_experiment:72 | INFO | Data saving path: C:/experiment_1
2017-09-27 11:31:10,349 | cRED_experiment:73 | INFO | Data collection exposure time: 0.5 s
2017-09-27 11:31:10,349 | cRED_experiment:75 | INFO | Data collection camera length: 250 cm
2017-09-27 11:31:10,349 | cRED_experiment:76 | INFO | Data collection spot size: 1
2017-09-27 11:32:00,714 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:32:00,747 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:32:00,760 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:32:00,762 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:32:00,762 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:32:00,763 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:32:00,763 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:32:00,799 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:32:02,989 | edfimage:87 | DEBUG | No support for float128 in your code
2017-09-27 11:32:03,039 | openimage:151 | DEBUG | Attempting to open C:\Users\bwang\workspace\cRED_Collection_Structured\flatfield_tpx_2017-06-21.tiff
2017-09-27 11:32:03,039 | openimage:153 | DEBUG | Attempting to read frame None from C:\Users\bwang\workspace\cRED_Collection_Structured\flatfield_tpx_2017-06-21.tiff with reader TifImage
2017-09-27 11:32:03,040 | cRED_experiment:71 | INFO | Data recording started at: 2017-09-27 11:32:03
